id,name,description,price,manufacturer,group_id,original_id
1,Sony Turntable - PSLX350H,Sony Turntable - PSLX350H/ Belt Drive System/ 33-1/3 and 45 RPM Speeds/ Servo Speed Control/ Supplied Moving Magnet Phono Cartridge/ Bonded Diamond Stylus/ Static Balance Tonearm/ Pitch Control,,,1,552
2,Sony PS-LX350H Belt-Drive Turntable,,,Sony,1,90132241
3,Bose Acoustimass 5 Series III Speaker System - AM53BK,Bose Acoustimass 5 Series III Speaker System - AM53BK/ 2 Dual Cube Speakers With Two 2-1/2' Wide-range Drivers In Each Speaker/ Powerful Bass Module With Two 5-1/2' Woofers/ 200 Watts Max Power/ Black Finish,$399.00,,2,580
4,Bose Acoustimass 5 Series III Speaker System - 21725,2.1-channel - Black,$359.00,BOSE,2,202812620
5,Sony Switcher - SBV40S,Sony Switcher - SBV40S/ Eliminates Disconnecting And Reconnecting Cables/ Compact Design/ 4 A/V Inputs With S-Video Jacks/ 1 A/V Output With S-Video (Y/C)Jack/ 2 Audio Output,$49.00,,3,4696
6,Sony SB-V40S A/V Selector - SBV40S,"VCR, Camcorder, AV Receiver, Video Game Console, TV, Laser Disc Player, DVD Player Compatible - 4 x S-Video In, 4 x Composite Video In, 4 x Stereo Audio Line In, 1 x S-Video Out, 1 x Composite Video Out, 1 x Stereo A",,Sony,3,90049928
7,Sony 5 Disc CD Player - CDPCE375,Sony 5 Disc CD Player- CDPCE375/ 5 Disc Changer/ Variable Line Output/ CD-R/RW Playback Capability/ 20 Track Music Calendar/ Digital Servo Control/ Remote Commander Remote Control,,,4,5644
8,Sony CDP-CE375 CD Player/Changer - CDPCE375,"CD-ROM, CD-R, CD-RW - 5 Disc(s) - 32 Programmable Track(s)",$114.18,Sony,4,203023505
9,Bose 27028 161 Bookshelf Pair Speakers In White - 161WH,Bose 161 Bookshelf Speakers In White - 161WH/ Articulated Array Speaker Design/ High-Excursion Twiddler Drivers/ Magnetically Shielded/ Priced Per Pair/ White Finish,$158.00,,5,6284
10,Boss 161 Speaker,Speaker - Magnetically Shielded,$158.00,BOSE,5,202812567
11,Denon Stereo Tuner - TU1500RD,Denon Stereo Tuner - TU1500RD/ RDS Radio Data System/ AM-FM 40 Station Random Memory/ Rotary Tuning Knob/ Dot Matrix FL Display/ Optional Remote,$375.00,,6,6493
12,Denon TU-1500RD Stereo Radio Tuner - TU1500RD,40,,Denon,6,203017999
13,KitchenAid Pasta Roller And Cutter - KPRA,KitchenAid Pasta Roller And Cutter - KPRA/ One Pasta Roller/ Two Pasta Cutters/ Cleaning Brush/ Chrome Finish,,,7,6726
14,KitchenAid Pasta Roller And Cutter - KPRA,,,KitchenAid,7,203111433
15,Panasonic SDYD250 Automatic Bread Maker,,,Panasonic,8,202845629
16,Panasonic Yeast Pro Automatic Breadmaker - SDYD250,Panasonic Yeast Pro Automatic Breadmaker - SDYD250/ Patented Yeast Dispenser/ 2.5 lb To 1.5 lb Loaf/ Choice Of Bread And Baking Modes/ 13 Hour Countdown Digital Timer/ Nonstick Coating For Easy Cleanup,,,8,6742
17,Sony h.ear Stereo Earphones - MDRJ10/BLUE,- Blue,$12.38,Sony,9,90105458
18,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10/ Clip On Style/ 13.5 MM Driver Unit/ Blue Finish,,,9,7195
19,Panasonic KX-TSC14W 2-Line Telephone,2 x Phone Line(s) - Headset - White,,Panasonic,10,202900227
20,Panasonic 2-Line Integrated Telephone - KXTSC14W,Panasonic 2-Line Integrated Telephone - KXTSC14W/ Call Waiting/ 50-Station Caller ID/ Voice Mail Message-Waiting Indicator/ Speakerphone/ 3-Line LCD Display/ White Finish,,,10,7783
21,Panasonic Integrated Telephone System - KXTS108W,Panasonic Integrated Telephone System - KXTS108W/ 16 Digit LCD With Clock/ Hands Free Speakerphone/ Built-In Data Port/ 10-Station One-Touch Dialing/ 3-Step Ringer Volume/ White Finish,$44.00,,11,7936
22,Panasonic KX-TS108W Corded Phone,1 x Phone Line(s) - White,,Panasonic,11,90104307
