id_amazon,id_google,group_id
b000bknncq,http://www.google.com/base/feeds/snippets/10004325115759097777,417
b000e5n0mg,http://www.google.com/base/feeds/snippets/10008484121273338467,497
b000ofnri8,http://www.google.com/base/feeds/snippets/10044826638425571623,1000
b0008ewsai,http://www.google.com/base/feeds/snippets/10066664236286478958,282
b000saufpw,http://www.google.com/base/feeds/snippets/10073523251870401694,1087
b0008ewsf8,http://www.google.com/base/feeds/snippets/10087092539211280139,283
b000h14rqk,http://www.google.com/base/feeds/snippets/10090208868795399315,669
b0001wn16m,http://www.google.com/base/feeds/snippets/10092468528845066077,139
b000fzz730,http://www.google.com/base/feeds/snippets/10105070429318394420,621
b000i0bp6k,http://www.google.com/base/feeds/snippets/10110199435466109569,770
b00002s5ig,http://www.google.com/base/feeds/snippets/10121034673222484873,4
b000c55alw,http://www.google.com/base/feeds/snippets/10177129616064822618,458
b00013wh0w,http://www.google.com/base/feeds/snippets/10202903815808902868,111
b00006jo4g,http://www.google.com/base/feeds/snippets/10206096308013781162,41
b0009yx9be,http://www.google.com/base/feeds/snippets/1021042895134770712,339
b000hl1eie,http://www.google.com/base/feeds/snippets/10217306837122444015,751
b0007zf3ge,http://www.google.com/base/feeds/snippets/10244573068939530333,276
b000m2yc32,http://www.google.com/base/feeds/snippets/10248910023220043204,900
b000fzxisg,http://www.google.com/base/feeds/snippets/10282477376383378142,620
b000ej9w0q,http://www.google.com/base/feeds/snippets/10299611596430222322,533
b000krd3bq,http://www.google.com/base/feeds/snippets/10299611596430222322,533
b000byruai,http://www.google.com/base/feeds/snippets/10307558685940721323,457
b000h16p9w,http://www.google.com/base/feeds/snippets/10330893806550846255,672
b0001gu7di,http://www.google.com/base/feeds/snippets/1035187390817409083,128
b0000afu4e,http://www.google.com/base/feeds/snippets/10376000923691891679,82
b000bl40dg,http://www.google.com/base/feeds/snippets/10381298233088883938,418
b000h14rr4,http://www.google.com/base/feeds/snippets/10426833843056008758,670
b0000c6eol,http://www.google.com/base/feeds/snippets/10445277524546945239,90
b000ofnrhy,http://www.google.com/base/feeds/snippets/10453015417098446087,999
b000jgw9ae,http://www.google.com/base/feeds/snippets/10471177135649344162,838
b00002s6sc,http://www.google.com/base/feeds/snippets/10496277297966281940,5
b000frttvy,http://www.google.com/base/feeds/snippets/10497976503252074561,614
b000h22rbg,http://www.google.com/base/feeds/snippets/10500380486679990055,681
b00001xdw7,http://www.google.com/base/feeds/snippets/10541632718220382972,3
b000g0lieq,http://www.google.com/base/feeds/snippets/10542539041826323398,626
b000mgo1r0,http://www.google.com/base/feeds/snippets/10555450463385817719,908
b000aoz7hw,http://www.google.com/base/feeds/snippets/10563522754094993865,361
