id,title,authors,venue,year,group_id,original_id
1,Adaptable query optimization and evaluation in temporal middleware,"Giedrius Slivinskas, Christian S. Jensen, Richard Thomas Snodgrass",International Conference on Management of Data,2001,1.0,375678
2,Adaptable Query Optimization and Evaluation in Temporal Middleware,"Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas",SIGMOD Conference,2001,1.0,conf/sigmod/SlivinskasJS01
3,"A robust, optimization-based approach for approximate answering of aggregate queries","Surajit Chaudhuri, Gautam Das, Vivek Narasayya",International Conference on Management of Data,2001,2.0,375694
4,"A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries","Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri",SIGMOD Conference,2001,2.0,conf/sigmod/ChaudhuriDN01
5,Bit-sliced index arithmetic,"Denis Rinfret, Patrick O'Neil, Elizabeth O'Neil",International Conference on Management of Data,2001,3.0,375669
6,Bit-Sliced Index Arithmetic,"Elizabeth J. O'Neil, Denis Rinfret, Patrick E. O'Neil",SIGMOD Conference,2001,3.0,conf/sigmod/RinfretOO01
7,Data Bubbles: Quality Preserving Performance Boosting for Hierarchical Clustering,"Jörg Sander, Hans-Peter Kriegel, Peer Kröger, Markus M. Breunig",SIGMOD Conference,2001,4.0,conf/sigmod/BreunigKKS01
8,Data bubbles: quality preserving performance boosting for hierarchical clustering,"Markus M. Breunig, Hans-Peter Kriegel, Peer Kr&#246;ger, J&#246;rg Sander",International Conference on Management of Data,2001,4.0,375672
9,Global Optimization of Histograms,"H. V. Jagadish, Kian-Lee Tan, Hui Jin, Beng Chin Ooi",SIGMOD Conference,2001,5.0,conf/sigmod/JagadishJOT01
10,Global optimization of histograms,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",International Conference on Management of Data,2001,5.0,375687
11,Experiences in mining aviation safety data,"Zohreh Nazeri, Eric Bloedorn, Paul Ostwald",International Conference on Management of Data,2001,6.0,375743
12,Experiences in Mining Aviation Safety Data,"Zohreh Nazeri, Paul Ostwald, Eric Bloedorn",SIGMOD Conference,2001,6.0,conf/sigmod/NazeriBO01
13,DyDa: Data Warehouse Maintenance in Fully Concurrent Environments,"Songting Chen, Andreas Koeller, Elke A. Rundensteiner, Xin Zhang, Jun Chen",SIGMOD Conference,2001,7.0,conf/sigmod/ChenZCKR01
